bancarizado,codigodepartamentoatencion,codigomunicipioatencion,discapacidad,estadobeneficiario,etnia,fechainscripcionbeneficiario,genero,nivelescolaridad,nombredepartamentoatencion,nombremunicipioatencion,pais,tipoasignacionbeneficio,tipobeneficio,tipodocumento,tipopoblacion,rangobeneficioconsolidadoasignado,rangoultimobeneficioasignado,fechaultimobeneficioasignado,rangoedad,titular,cantidaddebeneficiarios
ND,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,Colombia,ND,EDUCACIÓN SECUNDARIA,TI,ND,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,1
NO,15,15572,NO,ACTIVO,ND,2012-12-01,Hombre,TRANSICION,BOYACA,PUERTO BOYACA,ND,ND,TRANSICIÓN,RC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,9
ND,15,15572,NO,ACTIVO,ND,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,Colombia,ND,EDUCACIÓN PRIMARIA,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
SI,15,15572,NO,NO ACTIVO,ND,2012-12-01,Mujer,ND,BOYACA,PUERTO BOYACA,COLOMBIA,MONETARIO,ND,CC,ND,0 - 1.500.000,0 - 1.300.000,2014-01-01,50-65,SI,1
NO,15,15572,NO,ACTIVO,AFROCOLOMBIANO – NEGRO,2018-01-01,Hombre,ND,BOYACA,PUERTO BOYACA,Colombia,MONETARIO,ND,CC,UNIDOS,0 - 1.500.000,0 - 1.300.000,2018-01-01,30-49,SI,1
NO,15,15572,NO,ACTIVO,ND,2014-04-01,Mujer,TRANSICION,BOYACA,PUERTO BOYACA,ND,ND,TRANSICIÓNNUTRICIÓN MENOR,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,2
NO,15,15572,NO,ACTIVO,ND,2012-12-01,Mujer,TRANSICION,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
NO,15,15572,NO,ACTIVO,ND,2015-04-01,Mujer,ND,BOYACA,PUERTO BOYACA,ND,ND,NUTRICIÓN MENOR,RC,UNIDOS,0 - 1.500.000,0 - 1.300.000,1900-01-01,06-17,NO,1
NO,15,15572,NO,NO ACTIVO,AFROCOLOMBIANO – NEGRO,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,TI,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,18-29,NO,3
NO,15,15572,NO,ACTIVO,ND,2012-12-01,Hombre,ND,BOYACA,PUERTO BOYACA,ND,ND,ND,CC,SISBEN,0 - 1.500.000,0 - 1.300.000,1900-01-01,50-65,NO,1
